filepath,x1,x2,x3,x4,x5,x6,x7,x8
C:\\dev\\dataset\\ThinFilm\\data1\\0001.tif,-3.95e-05,-0.079054,0.000135,0.000164,1246.739014,1241.310181,-0.367173,11.927438
C:\\dev\\dataset\\ThinFilm\\data1\\0002.tif,0.000108,0.21577,0.000171,2.84e-05,1246.784058,1241.141724,-1.215357,11.927438
C:\\dev\\dataset\\ThinFilm\\data1\\0003.tif,-6.77e-06,-0.013537,0.000122,0.000174,1246.723022,1241.322754,-0.165738,11.927438
C:\\dev\\dataset\\ThinFilm\\data1\\0004.tif,-0.000179,-0.357499,0.000155,-1.59e-05,1246.764526,1241.086792,-1.426341,11.927438
C:\\dev\\dataset\\ThinFilm\\data1\\0005.tif,-0.000121,-0.242845,0.000142,-3.16e-06,1246.748047,1241.102539,0.101994,11.927438
C:\\dev\\dataset\\ThinFilm\\data1\\0006.tif,5.87e-05,0.117496,0.000114,0.000146,1246.713257,1241.28772,0.022194,11.927438
C:\\dev\\dataset\\ThinFilm\\data1\\0007.tif,-0.000162,-0.32474,0.000109,0.000159,1246.706543,1241.303589,-1.277372,11.927438
C:\\dev\\dataset\\ThinFilm\\data1\\0008.tif,1.78e-05,0.0356,0.000121,0.000196,1246.722046,1241.349609,-1.45733,11.927438
C:\\dev\\dataset\\ThinFilm\\data1\\0009.tif,-1.5e-05,-0.029916,0.000165,8.23e-05,1246.776123,1241.208496,-1.613346,11.927644
C:\\dev\\dataset\\ThinFilm\\data1\\0010.tif,-6.41e-05,-0.128191,0.000144,5.56e-05,1246.749634,1241.175415,-0.498915,11.927898
C:\\dev\\dataset\\ThinFilm\\data1\\0011.tif,0.000108,0.21577,7.21e-05,8.29e-05,1246.660645,1241.209229,-0.387043,11.928145
C:\\dev\\dataset\\ThinFilm\\data1\\0012.tif,0.000132,0.264908,0.000162,0.000165,1246.772949,1241.310791,-1.14876,11.928392
C:\\dev\\dataset\\ThinFilm\\data1\\0013.tif,0.000263,0.526974,0.000101,0.000157,1246.696899,1241.30188,-1.014695,11.928646
C:\\dev\\dataset\\ThinFilm\\data1\\0014.tif,0.000239,0.477836,0.000104,0.00012,1246.700195,1241.255371,-1.555948,11.9289
C:\\dev\\dataset\\ThinFilm\\data1\\0015.tif,0.000214,0.428699,0.000106,0.000163,1246.702271,1241.308838,-1.154817,11.929147
C:\\dev\\dataset\\ThinFilm\\data1\\0016.tif,0.000313,0.625248,8.12e-05,0.000185,1246.671875,1241.336304,-1.544018,11.929402
C:\\dev\\dataset\\ThinFilm\\data1\\0017.tif,0.000206,0.41232,0.000122,0.000205,1246.722656,1241.360596,-2.281938,11.929649
C:\\dev\\dataset\\ThinFilm\\data1\\0018.tif,0.000386,0.77266,9.69e-05,0.000191,1246.691528,1241.343262,-1.679374,11.929916
C:\\dev\\dataset\\ThinFilm\\data1\\0019.tif,0.000403,0.805418,9.62e-05,0.000255,1246.690552,1241.422485,-1.96925,11.93015
C:\\dev\\dataset\\ThinFilm\\data1\\0020.tif,0.000337,0.674386,0.000101,0.000186,1246.696289,1241.337402,-2.64684,11.930404
C:\\dev\\dataset\\ThinFilm\\data1\\0021.tif,0.000395,0.789039,9.5e-05,0.000154,1246.689087,1241.297852,-1.847337,11.930651
C:\\dev\\dataset\\ThinFilm\\data1\\0022.tif,0.000558,1.116622,0.000134,0.000377,1246.737305,1241.574219,-1.623588,11.930905
C:\\dev\\dataset\\ThinFilm\\data1\\0023.tif,0.00055,1.100242,0.000114,0.000357,1246.712646,1241.54895,-2.820696,11.931152
C:\\dev\\dataset\\ThinFilm\\data1\\0024.tif,0.00055,1.100242,0.000182,0.000328,1246.796997,1241.513184,-3.131937,11.931393
C:\\dev\\dataset\\ThinFilm\\data1\\0025.tif,0.000632,1.264034,0.000162,0.000369,1246.772705,1241.564453,-1.80499,11.93166
C:\\dev\\dataset\\ThinFilm\\data1\\0026.tif,0.000616,1.231275,0.000196,0.000342,1246.814941,1241.53064,-2.276471,11.931908
C:\\dev\\dataset\\ThinFilm\\data1\\0027.tif,0.000534,1.067484,0.00026,0.000369,1246.894653,1241.564453,-1.743917,11.932155
C:\\dev\\dataset\\ThinFilm\\data1\\0028.tif,0.000534,1.067484,0.000252,0.000489,1246.885254,1241.713745,-1.420183,11.932409
C:\\dev\\dataset\\ThinFilm\\data1\\0029.tif,0.000689,1.378687,0.000213,0.000451,1246.835815,1241.666138,-1.939065,11.932656
C:\\dev\\dataset\\ThinFilm\\data1\\0030.tif,0.000829,1.657132,0.000249,0.000362,1246.881592,1241.556274,-2.120516,11.93291
C:\\dev\\dataset\\ThinFilm\\data1\\0031.tif,0.000763,1.526099,0.000296,0.000432,1246.939697,1241.641968,-1.453155,11.933157
C:\\dev\\dataset\\ThinFilm\\data1\\0032.tif,0.000894,1.788165,0.00025,0.000483,1246.881714,1241.706177,-1.457914,11.933405
C:\\dev\\dataset\\ThinFilm\\data1\\0033.tif,0.000804,1.607995,0.000351,0.000488,1247.008057,1241.711548,-1.936933,11.933666
C:\\dev\\dataset\\ThinFilm\\data1\\0034.tif,0.000902,1.804544,0.000322,0.000502,1246.971802,1241.729004,-1.389738,11.933913
C:\\dev\\dataset\\ThinFilm\\data1\\0035.tif,0.001017,2.033852,0.00042,0.000536,1247.094482,1241.771484,-1.559096,11.934153
C:\\dev\\dataset\\ThinFilm\\data1\\0036.tif,0.001033,2.06661,0.000429,0.000676,1247.105469,1241.944946,-1.275177,11.934414
C:\\dev\\dataset\\ThinFilm\\data1\\0037.tif,0.001091,2.181264,0.000401,0.000601,1247.070312,1241.852417,-1.574604,11.934661
C:\\dev\\dataset\\ThinFilm\\data1\\0038.tif,0.001173,2.345055,0.000436,0.000655,1247.114624,1241.918945,-1.499703,11.934915
C:\\dev\\dataset\\ThinFilm\\data1\\0039.tif,0.001132,2.263159,0.000447,0.00068,1247.128052,1241.950928,-1.500546,11.935169
C:\\dev\\dataset\\ThinFilm\\data1\\0040.tif,0.001164,2.328676,0.000502,0.000834,1247.197021,1242.141968,-1.521728,11.93541
C:\\dev\\dataset\\ThinFilm\\data1\\0041.tif,0.001279,2.557983,0.000465,0.000783,1247.150146,1242.078125,-1.660498,11.935664
C:\\dev\\dataset\\ThinFilm\\data1\\0042.tif,0.001271,2.541604,0.000516,0.000815,1247.213745,1242.11792,-1.684534,11.935918
C:\\dev\\dataset\\ThinFilm\\data1\\0043.tif,0.001369,2.738154,0.000603,0.000854,1247.322754,1242.165771,-1.580079,11.936165
C:\\dev\\dataset\\ThinFilm\\data1\\0044.tif,0.001369,2.738154,0.000576,0.00093,1247.28833,1242.260132,-1.41474,11.936419
C:\\dev\\dataset\\ThinFilm\\data1\\0045.tif,0.001492,2.98384,0.000624,0.000912,1247.348511,1242.238525,-1.614827,11.936666
C:\\dev\\dataset\\ThinFilm\\data1\\0046.tif,0.0015,3.000219,0.000648,0.000955,1247.379028,1242.292114,-1.461979,11.93692
C:\\dev\\dataset\\ThinFilm\\data1\\0047.tif,0.0015,3.000219,0.000722,0.000963,1247.470215,1242.30188,-1.473162,11.937167
C:\\dev\\dataset\\ThinFilm\\data1\\0048.tif,0.001607,3.213148,0.000701,0.001142,1247.445068,1242.523804,-1.334875,11.937421
C:\\dev\\dataset\\ThinFilm\\data1\\0049.tif,0.0015,3.000219,0.000725,0.001151,1247.474609,1242.534424,-1.628144,11.937669
C:\\dev\\dataset\\ThinFilm\\data1\\0050.tif,0.00168,3.36056,0.000751,0.001207,1247.506958,1242.604126,-1.586717,11.937923
