filepath,x1,x2,x3,x4,x5,x6,x7,x8
C:\dev\dataset\ThinFilm\PMMA\data1\0001.tif,-3.95e-05,-0.079054,0.000135,0.000164,1246.739014,1241.310181,-0.367173,11.927438
C:\dev\dataset\ThinFilm\PMMA\data1\0002.tif,0.000108,0.21577,0.000171,2.84e-05,1246.784058,1241.141724,-1.215357,11.927438
C:\dev\dataset\ThinFilm\PMMA\data1\0003.tif,-6.77e-06,-0.013537,0.000122,0.000174,1246.723022,1241.322754,-0.165738,11.927438
C:\dev\dataset\ThinFilm\PMMA\data1\0004.tif,-0.000179,-0.357499,0.000155,-1.59e-05,1246.764526,1241.086792,-1.426341,11.927438
C:\dev\dataset\ThinFilm\PMMA\data1\0005.tif,-0.000121,-0.242845,0.000142,-3.16e-06,1246.748047,1241.102539,0.101994,11.927438
C:\dev\dataset\ThinFilm\PMMA\data1\0006.tif,5.87e-05,0.117496,0.000114,0.000146,1246.713257,1241.28772,0.022194,11.927438
C:\dev\dataset\ThinFilm\PMMA\data1\0007.tif,-0.000162,-0.32474,0.000109,0.000159,1246.706543,1241.303589,-1.277372,11.927438
C:\dev\dataset\ThinFilm\PMMA\data1\0008.tif,1.78e-05,0.0356,0.000121,0.000196,1246.722046,1241.349609,-1.45733,11.927438
C:\dev\dataset\ThinFilm\PMMA\data1\0009.tif,-1.5e-05,-0.029916,0.000165,8.23e-05,1246.776123,1241.208496,-1.613346,11.927644
C:\dev\dataset\ThinFilm\PMMA\data1\0010.tif,-6.41e-05,-0.128191,0.000144,5.56e-05,1246.749634,1241.175415,-0.498915,11.927898
C:\dev\dataset\ThinFilm\PMMA\data1\0011.tif,0.000108,0.21577,7.21e-05,8.29e-05,1246.660645,1241.209229,-0.387043,11.928145
C:\dev\dataset\ThinFilm\PMMA\data1\0012.tif,0.000132,0.264908,0.000162,0.000165,1246.772949,1241.310791,-1.14876,11.928392
C:\dev\dataset\ThinFilm\PMMA\data1\0013.tif,0.000263,0.526974,0.000101,0.000157,1246.696899,1241.30188,-1.014695,11.928646
C:\dev\dataset\ThinFilm\PMMA\data1\0014.tif,0.000239,0.477836,0.000104,0.00012,1246.700195,1241.255371,-1.555948,11.9289
C:\dev\dataset\ThinFilm\PMMA\data1\0015.tif,0.000214,0.428699,0.000106,0.000163,1246.702271,1241.308838,-1.154817,11.929147
C:\dev\dataset\ThinFilm\PMMA\data1\0016.tif,0.000313,0.625248,8.12e-05,0.000185,1246.671875,1241.336304,-1.544018,11.929402
C:\dev\dataset\ThinFilm\PMMA\data1\0017.tif,0.000206,0.41232,0.000122,0.000205,1246.722656,1241.360596,-2.281938,11.929649
C:\dev\dataset\ThinFilm\PMMA\data1\0018.tif,0.000386,0.77266,9.69e-05,0.000191,1246.691528,1241.343262,-1.679374,11.929916
C:\dev\dataset\ThinFilm\PMMA\data1\0019.tif,0.000403,0.805418,9.62e-05,0.000255,1246.690552,1241.422485,-1.96925,11.93015
C:\dev\dataset\ThinFilm\PMMA\data1\0020.tif,0.000337,0.674386,0.000101,0.000186,1246.696289,1241.337402,-2.64684,11.930404
C:\dev\dataset\ThinFilm\PMMA\data1\0021.tif,0.000395,0.789039,9.5e-05,0.000154,1246.689087,1241.297852,-1.847337,11.930651
C:\dev\dataset\ThinFilm\PMMA\data1\0022.tif,0.000558,1.116622,0.000134,0.000377,1246.737305,1241.574219,-1.623588,11.930905
C:\dev\dataset\ThinFilm\PMMA\data1\0023.tif,0.00055,1.100242,0.000114,0.000357,1246.712646,1241.54895,-2.820696,11.931152
C:\dev\dataset\ThinFilm\PMMA\data1\0024.tif,0.00055,1.100242,0.000182,0.000328,1246.796997,1241.513184,-3.131937,11.931393
C:\dev\dataset\ThinFilm\PMMA\data1\0025.tif,0.000632,1.264034,0.000162,0.000369,1246.772705,1241.564453,-1.80499,11.93166
C:\dev\dataset\ThinFilm\PMMA\data1\0026.tif,0.000616,1.231275,0.000196,0.000342,1246.814941,1241.53064,-2.276471,11.931908
C:\dev\dataset\ThinFilm\PMMA\data1\0027.tif,0.000534,1.067484,0.00026,0.000369,1246.894653,1241.564453,-1.743917,11.932155
C:\dev\dataset\ThinFilm\PMMA\data1\0028.tif,0.000534,1.067484,0.000252,0.000489,1246.885254,1241.713745,-1.420183,11.932409
C:\dev\dataset\ThinFilm\PMMA\data1\0029.tif,0.000689,1.378687,0.000213,0.000451,1246.835815,1241.666138,-1.939065,11.932656
C:\dev\dataset\ThinFilm\PMMA\data1\0030.tif,0.000829,1.657132,0.000249,0.000362,1246.881592,1241.556274,-2.120516,11.93291
C:\dev\dataset\ThinFilm\PMMA\data1\0031.tif,0.000763,1.526099,0.000296,0.000432,1246.939697,1241.641968,-1.453155,11.933157
C:\dev\dataset\ThinFilm\PMMA\data1\0032.tif,0.000894,1.788165,0.00025,0.000483,1246.881714,1241.706177,-1.457914,11.933405
C:\dev\dataset\ThinFilm\PMMA\data1\0033.tif,0.000804,1.607995,0.000351,0.000488,1247.008057,1241.711548,-1.936933,11.933666
C:\dev\dataset\ThinFilm\PMMA\data1\0034.tif,0.000902,1.804544,0.000322,0.000502,1246.971802,1241.729004,-1.389738,11.933913
C:\dev\dataset\ThinFilm\PMMA\data1\0035.tif,0.001017,2.033852,0.00042,0.000536,1247.094482,1241.771484,-1.559096,11.934153
C:\dev\dataset\ThinFilm\PMMA\data1\0036.tif,0.001033,2.06661,0.000429,0.000676,1247.105469,1241.944946,-1.275177,11.934414
C:\dev\dataset\ThinFilm\PMMA\data1\0037.tif,0.001091,2.181264,0.000401,0.000601,1247.070312,1241.852417,-1.574604,11.934661
C:\dev\dataset\ThinFilm\PMMA\data1\0038.tif,0.001173,2.345055,0.000436,0.000655,1247.114624,1241.918945,-1.499703,11.934915
C:\dev\dataset\ThinFilm\PMMA\data1\0039.tif,0.001132,2.263159,0.000447,0.00068,1247.128052,1241.950928,-1.500546,11.935169
C:\dev\dataset\ThinFilm\PMMA\data1\0040.tif,0.001164,2.328676,0.000502,0.000834,1247.197021,1242.141968,-1.521728,11.93541
C:\dev\dataset\ThinFilm\PMMA\data1\0041.tif,0.001279,2.557983,0.000465,0.000783,1247.150146,1242.078125,-1.660498,11.935664
C:\dev\dataset\ThinFilm\PMMA\data1\0042.tif,0.001271,2.541604,0.000516,0.000815,1247.213745,1242.11792,-1.684534,11.935918
C:\dev\dataset\ThinFilm\PMMA\data1\0043.tif,0.001369,2.738154,0.000603,0.000854,1247.322754,1242.165771,-1.580079,11.936165
C:\dev\dataset\ThinFilm\PMMA\data1\0044.tif,0.001369,2.738154,0.000576,0.00093,1247.28833,1242.260132,-1.41474,11.936419
C:\dev\dataset\ThinFilm\PMMA\data1\0045.tif,0.001492,2.98384,0.000624,0.000912,1247.348511,1242.238525,-1.614827,11.936666
C:\dev\dataset\ThinFilm\PMMA\data1\0046.tif,0.0015,3.000219,0.000648,0.000955,1247.379028,1242.292114,-1.461979,11.93692
C:\dev\dataset\ThinFilm\PMMA\data1\0047.tif,0.0015,3.000219,0.000722,0.000963,1247.470215,1242.30188,-1.473162,11.937167
C:\dev\dataset\ThinFilm\PMMA\data1\0048.tif,0.001607,3.213148,0.000701,0.001142,1247.445068,1242.523804,-1.334875,11.937421
C:\dev\dataset\ThinFilm\PMMA\data1\0049.tif,0.0015,3.000219,0.000725,0.001151,1247.474609,1242.534424,-1.628144,11.937669
C:\dev\dataset\ThinFilm\PMMA\data1\0050.tif,0.00168,3.36056,0.000751,0.001207,1247.506958,1242.604126,-1.586717,11.937923
C:\dev\dataset\ThinFilm\PMMA\data1\0051.tif,0.001648,3.295043,0.00079,0.001144,1247.55603,1242.526001,-1.60657,11.93817
C:\dev\dataset\ThinFilm\PMMA\data1\0052.tif,0.001639,3.278664,0.0009,0.001226,1247.692505,1242.627686,-1.446991,11.93841
C:\dev\dataset\ThinFilm\PMMA\data1\0053.tif,0.001795,3.589867,0.000807,0.001277,1247.577026,1242.69104,-1.362035,11.938671
C:\dev\dataset\ThinFilm\PMMA\data1\0054.tif,0.001713,3.426076,0.000931,0.00128,1247.731079,1242.694824,-1.581512,11.938925
C:\dev\dataset\ThinFilm\PMMA\data1\0055.tif,0.001844,3.688142,0.000939,0.001258,1247.741699,1242.667236,-1.374824,11.939172
C:\dev\dataset\ThinFilm\PMMA\data1\0056.tif,0.001934,3.868312,0.000928,0.001373,1247.727539,1242.809937,-1.338706,11.939426
C:\dev\dataset\ThinFilm\PMMA\data1\0057.tif,0.001901,3.802796,0.00093,0.001445,1247.730225,1242.899292,-1.478998,11.939674
C:\dev\dataset\ThinFilm\PMMA\data1\0058.tif,0.001967,3.933829,0.000975,0.00139,1247.785889,1242.832031,-1.552992,11.939928
C:\dev\dataset\ThinFilm\PMMA\data1\0059.tif,0.002049,4.09762,0.001056,0.001481,1247.887207,1242.944946,-1.426143,11.940175
C:\dev\dataset\ThinFilm\PMMA\data1\0060.tif,0.002082,4.163136,0.001054,0.001557,1247.884766,1243.038818,-1.402641,11.940429
C:\dev\dataset\ThinFilm\PMMA\data1\0061.tif,0.002032,4.064862,0.001063,0.001498,1247.89624,1242.965454,-1.476987,11.940676
C:\dev\dataset\ThinFilm\PMMA\data1\0062.tif,0.002188,4.376065,0.001013,0.001481,1247.833252,1242.944336,-1.408632,11.94093
C:\dev\dataset\ThinFilm\PMMA\data1\0063.tif,0.002139,4.27779,0.001156,0.00149,1248.011353,1242.956299,-1.4621,11.941184
C:\dev\dataset\ThinFilm\PMMA\data1\0064.tif,0.002163,4.326927,0.001206,0.001543,1248.073975,1243.020996,-1.289634,11.941432
C:\dev\dataset\ThinFilm\PMMA\data1\0065.tif,0.002131,4.261411,0.001119,0.001592,1247.965332,1243.081909,-1.279162,11.941679
C:\dev\dataset\ThinFilm\PMMA\data1\0066.tif,0.002245,4.490719,0.001156,0.001614,1248.011841,1243.109863,-1.422696,11.941933
C:\dev\dataset\ThinFilm\PMMA\data1\0067.tif,0.002344,4.687268,0.001244,0.00164,1248.121704,1243.142212,-1.396267,11.942187
C:\dev\dataset\ThinFilm\PMMA\data1\0068.tif,0.002458,4.916576,0.001292,0.001612,1248.181885,1243.106689,-1.318387,11.942427
C:\dev\dataset\ThinFilm\PMMA\data1\0069.tif,0.002417,4.83468,0.001237,0.001726,1248.113037,1243.248901,-1.247002,11.942681
C:\dev\dataset\ThinFilm\PMMA\data1\0070.tif,0.002483,4.965713,0.001288,0.001745,1248.176025,1243.272217,-1.395221,11.942935
C:\dev\dataset\ThinFilm\PMMA\data1\0071.tif,0.002426,4.851059,0.001326,0.001858,1248.223145,1243.411987,-1.354994,11.943182
C:\dev\dataset\ThinFilm\PMMA\data1\0072.tif,0.002368,4.736405,0.001403,0.001931,1248.319946,1243.502686,-1.401349,11.943437
C:\dev\dataset\ThinFilm\PMMA\data1\0073.tif,0.00254,5.080367,0.001416,0.00184,1248.335693,1243.389648,-1.375924,11.943684
C:\dev\dataset\ThinFilm\PMMA\data1\0074.tif,0.002614,5.227779,0.001373,0.001974,1248.281982,1243.557007,-1.299318,11.943938
C:\dev\dataset\ThinFilm\PMMA\data1\0075.tif,0.002655,5.309674,0.001452,0.002006,1248.380493,1243.596191,-1.43826,11.944192
C:\dev\dataset\ThinFilm\PMMA\data1\0076.tif,0.00263,5.260537,0.001534,0.002021,1248.4823,1243.614502,-1.381723,11.944439
C:\dev\dataset\ThinFilm\PMMA\data1\0077.tif,0.00281,5.620877,0.00157,0.00201,1248.528442,1243.60144,-1.317786,11.944686
C:\dev\dataset\ThinFilm\PMMA\data1\0078.tif,0.002802,5.604498,0.0015,0.002155,1248.440186,1243.780884,-1.280097,11.94494
C:\dev\dataset\ThinFilm\PMMA\data1\0079.tif,0.002851,5.702773,0.001642,0.002066,1248.617554,1243.670288,-1.43677,11.945187
C:\dev\dataset\ThinFilm\PMMA\data1\0080.tif,0.002761,5.522603,0.00167,0.002103,1248.651855,1243.716553,-1.258095,11.945441
C:\dev\dataset\ThinFilm\PMMA\data1\0081.tif,0.00281,5.620877,0.001708,0.002162,1248.700195,1243.789795,-1.259693,11.945689
C:\dev\dataset\ThinFilm\PMMA\data1\0082.tif,0.002901,5.801048,0.0017,0.002278,1248.690186,1243.933472,-1.265666,11.945943
C:\dev\dataset\ThinFilm\PMMA\data1\0083.tif,0.003007,6.013976,0.001678,0.002311,1248.662231,1243.974609,-1.33969,11.94619
C:\dev\dataset\ThinFilm\PMMA\data1\0084.tif,0.003113,6.226904,0.001751,0.002319,1248.753662,1243.984497,-1.377336,11.946444
C:\dev\dataset\ThinFilm\PMMA\data1\0085.tif,0.00313,6.259663,0.001843,0.002441,1248.868286,1244.135986,-1.324234,11.946691
C:\dev\dataset\ThinFilm\PMMA\data1\0086.tif,0.003089,6.177767,0.001796,0.002419,1248.810059,1244.108887,-1.324429,11.946945
C:\dev\dataset\ThinFilm\PMMA\data1\0087.tif,0.00313,6.259663,0.001788,0.0025,1248.799072,1244.208862,-1.346583,11.947192
C:\dev\dataset\ThinFilm\PMMA\data1\0088.tif,0.003244,6.48897,0.001878,0.002362,1248.911865,1244.037354,-1.398306,11.947446
C:\dev\dataset\ThinFilm\PMMA\data1\0089.tif,0.003253,6.505349,0.001963,0.002545,1249.017822,1244.264404,-1.257379,11.947694
C:\dev\dataset\ThinFilm\PMMA\data1\0090.tif,0.003244,6.48897,0.00192,0.002609,1248.964355,1244.344971,-1.29615,11.947948
C:\dev\dataset\ThinFilm\PMMA\data1\0091.tif,0.003343,6.68552,0.001932,0.002563,1248.978638,1244.287964,-1.35889,11.948202
C:\dev\dataset\ThinFilm\PMMA\data1\0092.tif,0.003359,6.718278,0.002021,0.002556,1249.0896,1244.278809,-1.32708,11.948449
C:\dev\dataset\ThinFilm\PMMA\data1\0093.tif,0.003449,6.898448,0.002048,0.002641,1249.123047,1244.383789,-1.26494,11.948696
C:\dev\dataset\ThinFilm\PMMA\data1\0094.tif,0.003384,6.767415,0.002079,0.002717,1249.162476,1244.47876,-1.289648,11.94895
C:\dev\dataset\ThinFilm\PMMA\data1\0095.tif,0.003482,6.963964,0.0021,0.00279,1249.188599,1244.56958,-1.306863,11.949198
C:\dev\dataset\ThinFilm\PMMA\data1\0096.tif,0.003547,7.094997,0.002128,0.002728,1249.223877,1244.491821,-1.32866,11.949445
C:\dev\dataset\ThinFilm\PMMA\data1\0097.tif,0.003515,7.029481,0.002114,0.002873,1249.205444,1244.672241,-1.281618,11.949699
C:\dev\dataset\ThinFilm\PMMA\data1\0098.tif,0.003629,7.258788,0.002092,0.00288,1249.178467,1244.68103,-1.359334,11.949953
C:\dev\dataset\ThinFilm\PMMA\data1\0099.tif,0.00376,7.520854,0.002145,0.003022,1249.244629,1244.8573,-1.376774,11.9502
C:\dev\dataset\ThinFilm\PMMA\data1\0100.tif,0.003687,7.373442,0.002271,0.002963,1249.401855,1244.78418,-1.408914,11.950454
C:\dev\dataset\ThinFilm\PMMA\data1\0101.tif,0.00376,7.520854,0.002347,0.00304,1249.49585,1244.878906,-1.304745,11.950701
C:\dev\dataset\ThinFilm\PMMA\data1\0102.tif,0.003711,7.42258,0.002315,0.003065,1249.457031,1244.90979,-1.295367,11.950955
C:\dev\dataset\ThinFilm\PMMA\data1\0103.tif,0.003826,7.651887,0.002352,0.003138,1249.503052,1245.000977,-1.323534,11.951203
C:\dev\dataset\ThinFilm\PMMA\data1\0104.tif,0.003851,7.701024,0.002355,0.003151,1249.505859,1245.0177,-1.333958,11.95145
C:\dev\dataset\ThinFilm\PMMA\data1\0105.tif,0.003891,7.78292,0.002432,0.00325,1249.602539,1245.139648,-1.338396,11.951704
C:\dev\dataset\ThinFilm\PMMA\data1\0106.tif,0.003908,7.815678,0.002429,0.003243,1249.598999,1245.131348,-1.336144,11.951958
C:\dev\dataset\ThinFilm\PMMA\data1\0107.tif,0.003982,7.96309,0.002477,0.003301,1249.658691,1245.203735,-1.334904,11.952205
C:\dev\dataset\ThinFilm\PMMA\data1\0108.tif,0.00408,8.15964,0.00245,0.003311,1249.624878,1245.215942,-1.332676,11.952459
C:\dev\dataset\ThinFilm\PMMA\data1\0109.tif,0.00417,8.33981,0.002522,0.003281,1249.715088,1245.178711,-1.351433,11.952706
C:\dev\dataset\ThinFilm\PMMA\data1\0110.tif,0.004145,8.290672,0.00256,0.003475,1249.761597,1245.419312,-1.300756,11.95296
C:\dev\dataset\ThinFilm\PMMA\data1\0111.tif,0.004309,8.618255,0.002553,0.003515,1249.753418,1245.468994,-1.357565,11.953207
C:\dev\dataset\ThinFilm\PMMA\data1\0112.tif,0.004235,8.470843,0.002661,0.00354,1249.887451,1245.500366,-1.376693,11.953455
C:\dev\dataset\ThinFilm\PMMA\data1\0113.tif,0.004268,8.536359,0.002668,0.003495,1249.896606,1245.443481,-1.330556,11.953709
C:\dev\dataset\ThinFilm\PMMA\data1\0114.tif,0.004416,8.831183,0.00276,0.003573,1250.011108,1245.540405,-1.309772,11.953956
C:\dev\dataset\ThinFilm\PMMA\data1\0115.tif,0.004285,8.569117,0.002702,0.003571,1249.938477,1245.538452,-1.294445,11.95421
C:\dev\dataset\ThinFilm\PMMA\data1\0116.tif,0.004317,8.634634,0.002817,0.003688,1250.082153,1245.684204,-1.321802,11.954464
C:\dev\dataset\ThinFilm\PMMA\data1\0117.tif,0.004342,8.683771,0.002851,0.003722,1250.124268,1245.725464,-1.309395,11.954711
C:\dev\dataset\ThinFilm\PMMA\data1\0118.tif,0.004391,8.782046,0.002852,0.003704,1250.125488,1245.703735,-1.305566,11.954965
C:\dev\dataset\ThinFilm\PMMA\data1\0119.tif,0.004514,9.027732,0.00294,0.003838,1250.235474,1245.869507,-1.29893,11.955219
C:\dev\dataset\ThinFilm\PMMA\data1\0120.tif,0.00453,9.060491,0.002891,0.003824,1250.175049,1245.851807,-1.305369,11.95546
C:\dev\dataset\ThinFilm\PMMA\data1\0121.tif,0.004538,9.07687,0.003028,0.003755,1250.345459,1245.766357,-1.322367,11.955714
C:\dev\dataset\ThinFilm\PMMA\data1\0122.tif,0.004637,9.273419,0.003043,0.00385,1250.363647,1245.884033,-1.239902,11.955968
C:\dev\dataset\ThinFilm\PMMA\data1\0123.tif,0.00462,9.240661,0.003023,0.003965,1250.338989,1246.027466,-1.265162,11.956215
C:\dev\dataset\ThinFilm\PMMA\data1\0124.tif,0.004645,9.289798,0.003067,0.004,1250.393555,1246.071411,-1.311657,11.956469
C:\dev\dataset\ThinFilm\PMMA\data1\0125.tif,0.004735,9.469968,0.00309,0.004094,1250.422974,1246.187866,-1.30449,11.956709
C:\dev\dataset\ThinFilm\PMMA\data1\0126.tif,0.004637,9.273419,0.003145,0.004113,1250.491577,1246.210571,-1.324885,11.95697
C:\dev\dataset\ThinFilm\PMMA\data1\0127.tif,0.004735,9.469968,0.003172,0.004232,1250.525146,1246.358398,-1.307523,11.957218
C:\dev\dataset\ThinFilm\PMMA\data1\0128.tif,0.00476,9.519106,0.003188,0.004257,1250.5448,1246.389282,-1.33396,11.957472
C:\dev\dataset\ThinFilm\PMMA\data1\0129.tif,0.004923,9.846688,0.003236,0.004237,1250.604736,1246.364868,-1.335191,11.957719
C:\dev\dataset\ThinFilm\PMMA\data1\0130.tif,0.004915,9.830309,0.003211,0.004248,1250.573853,1246.379028,-1.309242,11.957973
C:\dev\dataset\ThinFilm\PMMA\data1\0131.tif,0.004964,9.928584,0.003284,0.004288,1250.664917,1246.428589,-1.322878,11.95822
C:\dev\dataset\ThinFilm\PMMA\data1\0132.tif,0.005079,10.157891,0.003306,0.004378,1250.691528,1246.539917,-1.305604,11.958474
C:\dev\dataset\ThinFilm\PMMA\data1\0133.tif,0.005005,10.010479,0.003291,0.004394,1250.67334,1246.559937,-1.32433,11.958721
C:\dev\dataset\ThinFilm\PMMA\data1\0134.tif,0.005112,10.223408,0.003418,0.00436,1250.831543,1246.517334,-1.33512,11.958975
C:\dev\dataset\ThinFilm\PMMA\data1\0135.tif,0.005104,10.207028,0.003399,0.004405,1250.808105,1246.573853,-1.275486,11.959222
C:\dev\dataset\ThinFilm\PMMA\data1\0136.tif,0.005243,10.485473,0.003358,0.004488,1250.756836,1246.676758,-1.29595,11.959476
C:\dev\dataset\ThinFilm\PMMA\data1\0137.tif,0.00512,10.239787,0.003528,0.004636,1250.96875,1246.860229,-1.336528,11.959724
C:\dev\dataset\ThinFilm\PMMA\data1\0138.tif,0.005169,10.338061,0.003552,0.004556,1250.998169,1246.761475,-1.314029,11.959978
